sale_id,product_id,customer_id,qty,Price,Total_amt,sale_date
50118,1018,107,2,349,698,2025-12-08
50119,1019,108,1,399,399,2025-12-08
50120,1000,109,1,1599,1599,2025-12-08
50121,1002,100,2,348,696,2025-12-08
50122,1004,101,1,99,99,2025-12-08
50123,1006,102,1,539,539,2025-12-08
50124,1008,103,5,45,225,2025-12-08
50125,1010,104,1,110,110,2025-12-08
50126,1012,105,1,171,171,2025-12-08
50127,1014,106,2,149,298,2025-12-08
50128,1016,107,1,139,139,2025-12-08
50129,1018,108,1,349,349,2025-12-08
50130,1000,109,3,1599,4797,2025-12-08
50131,1005,100,1,1199,1199,2025-12-08
50132,1007,101,2,219,438,2025-12-08
50133,1009,102,1,79,79,2025-12-08
50134,1011,103,1,190,190,2025-12-08
50135,1013,104,1,320,320,2025-12-08
50136,1015,105,2,169,338,2025-12-08
50137,1017,106,1,599,599,2025-12-08
50138,1019,107,1,399,399,2025-12-08
50139,1001,108,1,1250,1250,2025-12-08
50140,1003,109,4,749,2996,2025-12-08
50141,1005,100,1,1199,1199,2025-12-08
50142,1006,101,1,539,539,2025-12-08
50143,1008,102,2,45,90,2025-12-08
50144,1010,103,1,110,110,2025-12-08
50145,1012,104,1,171,171,2025-12-08
50146,1014,105,3,149,447,2025-12-08
50147,1016,106,1,139,139,2025-12-08
50148,1018,107,1,349,349,2025-12-08
50149,1001,108,1,1250,1250,2025-12-08
50150,1003,109,2,749,1498,2025-12-08
50151,1002,100,1,348,348,2025-12-08
50152,1004,101,1,99,99,2025-12-08
50153,1007,102,1,219,219,2025-12-08
50154,1009,103,4,79,316,2025-12-08
50155,1011,104,1,190,190,2025-12-08
50156,1013,105,1,320,320,2025-12-08
50157,1015,106,2,169,338,2025-12-08
50158,1017,107,1,599,599,2025-12-08
50159,1019,108,1,399,399,2025-12-08
50160,1000,109,1,1599,1599,2025-12-08
50161,1006,100,1,539,539,2025-12-08
50162,1008,101,3,45,135,2025-12-08
50163,1012,102,1,171,171,2025-12-08
50164,1014,103,1,149,149,2025-12-08
50165,1018,104,2,349,698,2025-12-08
50166,1001,105,1,1250,1250,2025-12-08
50167,1005,106,1,1199,1199,2025-12-08
50168,1009,107,1,79,79,2025-12-08
50169,1013,108,1,320,320,2025-12-08
50170,1017,109,1,599,599,2025-12-08
50171,1003,100,2,749,1498,2025-12-08
50172,1007,101,1,219,219,2025-12-08
50173,1011,102,1,190,190,2025-12-08
50174,1015,103,1,169,169,2025-12-08
50175,1019,104,1,399,399,2025-12-08
50176,1002,105,3,348,1044,2025-12-08
50177,1004,106,1,99,99,2025-12-08
50178,1006,107,1,539,539,2025-12-08
50179,1010,108,2,110,220,2025-12-08
50180,1012,109,1,171,171,2025-12-08
50181,1016,100,1,139,139,2025-12-08
50182,1000,101,1,1599,1599,2025-12-08
50183,1008,102,4,45,180,2025-12-08
50184,1014,103,1,149,149,2025-12-08
50185,1018,104,1,349,349,2025-12-08
50186,1001,105,2,1250,2500,2025-12-08
50187,1005,106,1,1199,1199,2025-12-08
50188,1009,107,1,79,79,2025-12-08
50189,1013,108,1,320,320,2025-12-08
50190,1017,109,2,599,1198,2025-12-08
50191,1003,100,1,749,749,2025-12-08
50192,1007,101,1,219,219,2025-12-08
50193,1011,102,1,190,190,2025-12-08
50194,1015,103,3,169,507,2025-12-08
50195,1019,104,1,399,399,2025-12-08
50196,1002,105,1,348,348,2025-12-08
50197,1004,106,2,99,198,2025-12-08
50198,1006,107,1,539,539,2025-12-08
50199,1010,108,1,110,110,2025-12-08
50200,1012,109,1,171,171,2025-12-08
50201,1016,100,1,139,139,2025-12-08
50202,1000,101,2,1599,3198,2025-12-08
50203,1008,102,1,45,45,2025-12-08
50204,1014,103,1,149,149,2025-12-08
50205,1018,104,1,349,349,2025-12-08
50206,1001,105,1,1250,1250,2025-12-08
50207,1005,106,1,1199,1199,2025-12-08
50208,1009,107,3,79,237,2025-12-08
50209,1013,108,1,320,320,2025-12-08
50210,1017,109,1,599,599,2025-12-08
50211,1003,100,2,749,1498,2025-12-08
50212,1007,101,1,219,219,2025-12-08
50213,1011,102,1,190,190,2025-12-08
50214,1015,103,1,169,169,2025-12-08
50215,1019,104,1,399,399,2025-12-08
50216,1002,105,4,348,1392,2025-12-08
50217,1004,106,1,99,99,2025-12-08
50218,1006,107,1,539,539,2025-12-08
50219,1010,108,1,110,110,2025-12-08
50220,1012,109,1,171,171,2025-12-08
